user_id,journey_id,fim
13973,150,2023-01-26 19:38:53.959153
69566,56,2023-01-26 19:32:07.546185
160774,262,2023-02-01 19:52:01.685869
178725,86,2022-07-05 22:38:04.655936
239835,25,2022-08-25 18:27:18.471711
245439,158,2023-05-04 02:27:42.373228
262520,158,2023-04-29 17:16:14.598102
263647,158,2023-08-02 20:20:31.289774
269637,516,2023-02-23 21:47:20.252873
269637,556,2022-01-31 20:45:21.212577
269637,559,2022-01-27 00:40:38.503839
269637,557,2022-01-27 00:40:10.599470
279036,805,2023-01-08 14:49:51.967599
279036,696,2023-01-08 15:26:24.540392
279036,25,2023-01-08 15:54:38.217221
279053,187,2023-01-26 18:26:08.285439
279053,171,2023-01-26 18:26:09.456362
279053,170,2023-01-26 18:26:10.594214
279053,192,2023-01-26 18:24:04.220880
279053,172,2023-01-26 18:24:12.173854
279236,862,2023-05-11 19:50:10.978820
279236,86,2023-04-28 02:52:57.105274
279236,158,2023-05-11 19:55:33.839854
284130,158,2023-05-01 04:43:15.410108
285338,833,2023-04-19 02:42:20.052719
285338,839,2023-04-19 02:38:31.711098
286392,599,2022-05-14 23:11:27.610072
286392,639,2022-05-14 22:15:43.884342
286392,517,2022-05-14 23:12:19.605161
286392,25,2022-05-14 22:48:47.857609
286392,640,2022-05-14 22:30:49.855511
292202,86,2023-07-31 21:09:52.151827
303027,557,2022-01-21 19:04:18.989349
328505,861,2023-05-11 02:40:29.443156
331958,681,2023-03-23 20:15:16.566134
331958,682,2023-03-23 20:15:35.549094
331958,811,2022-12-27 15:23:40.689618
331958,696,2022-12-27 16:00:19.645374
331958,25,2022-12-27 16:18:23.992826
342911,262,2023-02-01 20:02:04.271988
344134,469,2023-02-17 17:23:37.744320
344134,458,2023-02-17 17:23:20.821336
344134,391,2023-02-07 19:23:15.181884
344134,559,2022-01-27 16:11:55.608841
344134,557,2022-01-27 16:11:20.796281
344134,556,2022-01-27 16:12:41.555294
352556,25,2022-01-31 03:16:25.443642
352556,416,2022-01-31 02:58:32.966842
352556,557,2022-01-31 21:49:48.213904
352556,556,2022-02-05 02:45:31.360766
352556,559,2022-01-31 21:50:15.014896
357128,158,2023-06-30 22:03:42.575923
357636,86,2022-10-25 12:46:29.576106
363615,358,2023-02-07 16:49:31.535929
369655,24,2022-01-21 02:02:16.972323
369655,25,2022-01-21 02:56:34.530525
369655,88,2022-01-21 02:06:58.041777
369655,124,2022-01-21 02:40:34.246686
369655,557,2022-01-21 03:16:11.858888
373860,599,2022-11-01 00:25:30.904225
373860,24,2022-01-16 19:24:22.414864
373860,88,2022-01-16 19:28:08.703162
373860,517,2022-01-17 21:41:18.887500
373860,385,2022-06-26 22:37:31.264279
373860,380,2022-11-01 00:41:33.673219
376265,25,2023-08-08 16:47:45.426200
379382,158,2023-04-29 15:38:01.256667
393675,811,2023-01-30 15:50:32.891514
393675,696,2023-01-30 16:11:13.460049
393675,557,2022-01-26 13:40:31.800326
393675,467,2023-02-17 20:49:13.630818
393675,460,2023-02-17 20:49:34.196964
393675,461,2023-02-17 20:49:41.931809
393675,581,2023-03-07 15:47:35.803124
393675,158,2023-04-26 23:34:24.977804
393675,516,2023-02-17 20:13:54.868252
393675,462,2023-02-17 20:50:17.241518
393675,463,2023-02-17 22:00:23.496795
393675,465,2023-02-17 20:48:15.709842
393675,468,2023-02-17 20:48:58.801463
399186,557,2022-01-26 15:32:57.502735
445903,557,2022-02-02 22:42:07.148977
445903,559,2022-02-02 22:43:32.959304
445968,813,2023-06-02 15:04:31.323210
445968,864,2023-06-02 15:25:43.222029
445968,599,2023-06-02 15:38:07.608721
445968,380,2023-06-02 16:33:42.363197
445968,830,2023-06-02 16:35:05.415433
445968,192,2023-01-26 19:25:45.656895
445968,158,2023-06-02 14:54:45.835049
445968,416,2022-03-21 01:09:31.761089
453704,438,2023-03-07 15:50:47.217020
453704,516,2023-02-17 22:27:22.510240
453704,158,2023-05-31 13:40:59.682176
453704,557,2022-01-31 23:40:55.547236
453704,559,2022-01-31 23:42:06.355696
453704,556,2022-01-31 23:42:54.959025
457464,517,2022-05-05 22:16:23.695320
457464,158,2023-05-03 13:11:39.186677
458796,421,2023-02-07 22:54:00.088257
462576,421,2023-02-07 21:24:40.209321
464407,599,2023-05-14 18:38:15.680159
464407,861,2023-05-11 20:22:36.398826
464407,380,2023-05-26 23:30:01.206268
464407,25,2023-05-25 13:45:13.917323
464407,860,2023-05-26 22:32:03.175675
464407,124,2022-02-24 01:16:28.555070
464407,869,2023-06-13 14:26:08.328592
464407,158,2023-05-11 21:27:42.394130
465169,118,2023-01-26 18:50:51.311221
465575,358,2023-02-07 17:40:00.633495
469159,810,2023-01-30 17:57:27.103495
469159,811,2023-01-28 02:02:39.152816
469159,380,2023-01-28 20:35:40.595939
469159,696,2023-01-28 02:23:35.958471
470026,681,2023-03-23 19:43:55.495782
470026,682,2023-03-23 19:43:57.294377
470416,86,2023-05-11 16:23:35.939529
473356,262,2023-02-01 20:07:33.927518
473356,557,2022-01-24 14:04:54.051333
477497,559,2022-01-31 19:51:05.237640
477497,556,2022-02-04 18:22:35.473959
477497,557,2022-01-31 19:50:07.028487
482873,86,2022-02-04 00:16:28.288541
482873,559,2022-02-04 00:10:36.891318
482873,557,2022-02-04 00:09:44.991688
483323,421,2023-02-07 22:09:47.463260
485643,559,2022-02-02 15:53:18.221965
485643,557,2022-02-02 15:51:32.102490
488728,158,2023-04-30 17:22:02.880792
489022,826,2023-04-14 12:46:35.733569
489022,827,2023-04-14 14:25:49.199076
489022,813,2023-05-02 14:25:24.516860
489022,831,2023-05-02 14:30:34.338841
489022,830,2023-05-17 17:07:02.040168
489022,25,2023-05-02 14:33:16.735568
489022,158,2023-05-02 14:15:25.134643
489022,599,2022-10-19 15:50:00.634847
489022,380,2022-10-19 16:38:47.684491
491566,86,2022-10-31 20:40:04.263405
491828,86,2022-07-01 01:41:36.245876
491828,720,2022-09-07 19:22:33.846194
492721,559,2022-02-02 22:13:28.434210
492721,557,2022-02-02 22:12:51.580329
492721,556,2022-02-04 18:19:13.131566
494478,86,2022-10-24 17:43:44.852708
495176,192,2023-02-01 17:47:07.863856
495176,241,2023-02-01 17:56:37.291121
495176,239,2023-02-01 17:56:31.472950
495176,170,2023-02-01 17:56:29.916050
497066,190,2023-02-07 15:31:42.958950
497066,379,2023-02-07 18:11:33.481795
497066,390,2023-02-07 18:12:23.398181
497066,382,2023-02-07 18:12:21.978324
497066,398,2023-02-07 18:23:58.838908
497066,373,2023-02-07 18:24:03.621783
497066,374,2023-02-07 18:24:29.786233
497066,239,2023-02-07 18:40:57.197877
497066,376,2023-02-07 18:41:10.023040
497066,377,2023-02-07 18:41:13.154441
497066,241,2023-02-07 18:41:05.157001
497066,375,2023-02-07 18:41:09.062030
497066,403,2023-02-07 18:41:31.557671
497066,401,2023-02-07 18:41:44.565524
497658,243,2023-01-26 21:13:10.223762
497658,244,2023-02-01 17:33:42.530648
499645,380,2023-06-11 22:33:44.481896
499645,599,2023-05-10 17:54:51.866645
499645,869,2023-06-10 05:22:57.113812
499645,696,2023-06-10 05:36:53.305801
499645,244,2023-02-01 17:48:43.089849
499645,121,2023-02-01 18:32:18.817520
