id,name
1085374,Logistica / Supply Chain
1085377,Engenharia
1085377,Tecnologia
259566,Produção / Operações
279262,Comercial / Vendas
250812,Finanças / Contabilidade
68161,Logistica / Supply Chain
279262,Finanças / Contabilidade
324648,Logistica / Supply Chain
477478,RH
477478,Administrativo
283708,Logistica / Supply Chain
275982,Produção / Operações
269120,Produção / Operações
1012419,Tecnologia
1012419,RH
277989,Finanças / Contabilidade
495176,Comercial / Vendas
495176,Engenharia
1084468,Marketing / Comunicação
1086760,Comercial / Vendas
366322,Jurídico
366322,Administrativo
346422,RH
346422,Administrativo
346422,Finanças / Contabilidade
229970,Logistica / Supply Chain
553071,Administrativo
553071,Marketing / Comunicação
277989,RH
256026,Finanças / Contabilidade
251399,Finanças / Contabilidade
1086760,Saúde
1086760,Marketing / Comunicação
1086760,Produção / Operações
1084373,Comercial / Vendas
1084373,Tecnologia
1084373,Administrativo
1084373,Marketing / Comunicação
263582,RH
1084373,Finanças / Contabilidade
260640,Finanças / Contabilidade
346944,Tecnologia
346944,Administrativo
276133,Produção / Operações
1084373,Produção / Operações
1084373,Logistica / Supply Chain
1108161,Tecnologia
1108161,Administrativo
265092,Finanças / Contabilidade
1108161,Marketing / Comunicação
1108161,Logistica / Supply Chain
271956,Finanças / Contabilidade
495176,Administrativo
495176,Marketing / Comunicação
495176,Finanças / Contabilidade
159025,Finanças / Contabilidade
495176,Produção / Operações
495176,Logistica / Supply Chain
346977,Produção / Operações
257494,Finanças / Contabilidade
68161,Produção / Operações
470852,Tecnologia
346944,Marketing / Comunicação
346944,Finanças / Contabilidade
249854,Finanças / Contabilidade
258513,Finanças / Contabilidade
292675,Logistica / Supply Chain
324648,Produção / Operações
291040,Logistica / Supply Chain
258447,Finanças / Contabilidade
631729,Comercial / Vendas
256026,Comercial / Vendas
256026,Marketing / Comunicação
256026,Tecnologia
1012419,Administrativo
1012419,Marketing / Comunicação
251399,Comercial / Vendas
251399,Marketing / Comunicação
283954,Produção / Operações
249885,Finanças / Contabilidade
256118,Comercial / Vendas
256118,RH
1012419,Finanças / Contabilidade
159248,Finanças / Contabilidade
263576,Tecnologia
467226,Administrativo
467226,Finanças / Contabilidade
467226,Produção / Operações
467226,Logistica / Supply Chain
259566,Finanças / Contabilidade
329976,Logistica / Supply Chain
275982,Finanças / Contabilidade
269120,Finanças / Contabilidade
229970,Produção / Operações
1090282,Tecnologia
260669,Finanças / Contabilidade
265092,Tecnologia
325506,Logistica / Supply Chain
271956,Marketing / Comunicação
271956,Tecnologia
271956,RH
266169,Logistica / Supply Chain
279626,Marketing / Comunicação
279626,Tecnologia
329356,Logistica / Supply Chain
