id,key,superfit_dis,superfit_sin,superfit_cur,superfit_int,superfit_eng,superfit_res
1018476,SF_DR,60.00,52.00,44.00,58.00,52.00,62.00
1018512,SF_IR,48.00,42.00,40.00,54.00,38.00,56.00
1017589,SF_DI,54.00,50.00,36.00,52.00,44.00,40.00
1018467,SF_DI,56.00,40.00,38.00,52.00,40.00,42.00
1018518,SF_DI,72.00,58.00,60.00,68.00,54.00,58.00
1018545,SF_IE,54.00,50.00,52.00,62.00,66.00,56.00
1018437,SF_DE,62.00,48.00,46.00,56.00,64.00,48.00
1018506,SF_DR,60.00,36.00,42.00,50.00,20.00,52.00
1018461,SF_DE,62.00,48.00,56.00,54.00,64.00,44.00
1017691,SF_DI,62.00,56.00,56.00,58.00,52.00,54.00
1018193,SF_DC,56.00,52.00,54.00,52.00,46.00,44.00
1017661,SF_DI,72.00,42.00,44.00,68.00,62.00,46.00
1015254,SF_DS,46.00,40.00,28.00,28.00,26.00,36.00
1018492,SF_DR,66.00,48.00,60.00,54.00,52.00,62.00
1018426,SF_IR,48.00,38.00,52.00,54.00,46.00,60.00
1018434,SF_DI,62.00,52.00,46.00,60.00,58.00,52.00
1018525,SF_DC,60.00,50.00,58.00,56.00,54.00,52.00
1018513,SF_DI,56.00,52.00,42.00,60.00,52.00,52.00
1017764,SF_DR,66.00,56.00,52.00,46.00,48.00,64.00
1017631,SF_DI,58.00,44.00,42.00,50.00,48.00,48.00
1018440,SF_ER,62.00,54.00,62.00,60.00,70.00,66.00
1018486,SF_DR,56.00,44.00,18.00,46.00,30.00,58.00
1018537,SF_CI,56.00,46.00,60.00,58.00,48.00,56.00
1017928,SF_DE,64.00,46.00,32.00,46.00,48.00,44.00
1017552,SF_DR,56.00,54.00,48.00,50.00,52.00,58.00
1018524,SF_DS,42.00,48.00,34.00,34.00,30.00,22.00
1018480,SF_DE,62.00,52.00,46.00,54.00,64.00,52.00
1018526,SF_IE,56.00,60.00,56.00,64.00,60.00,58.00
1018543,SF_DS,60.00,64.00,40.00,50.00,46.00,58.00
1018536,SF_SR,50.00,58.00,52.00,52.00,54.00,56.00
1018528,SF_DI,58.00,46.00,44.00,62.00,44.00,54.00
1018515,SF_DI,66.00,58.00,46.00,64.00,62.00,58.00
1018519,SF_DS,64.00,54.00,44.00,40.00,44.00,34.00
1018217,SF_DE,64.00,44.00,42.00,54.00,62.00,56.00
1018278,SF_DI,52.00,40.00,44.00,62.00,46.00,48.00
969485,SF_DS,62.00,64.00,52.00,52.00,50.00,60.00
1018532,SF_DS,58.00,60.00,52.00,48.00,52.00,48.00
1018522,SF_DR,62.00,42.00,40.00,50.00,50.00,52.00
1018542,SF_DI,60.00,48.00,54.00,62.00,52.00,42.00
1018595,SF_DS,58.00,60.00,42.00,56.00,50.00,48.00
1018529,SF_DS,54.00,50.00,44.00,44.00,46.00,42.00
1017597,SF_DR,56.00,48.00,50.00,52.00,44.00,54.00
1018577,SF_DE,58.00,52.00,30.00,56.00,66.00,56.00
1011384,SF_generic,48.00,46.00,30.00,30.00,32.00,34.00
1018547,SF_DI,62.00,54.00,46.00,56.00,52.00,48.00
1018587,SF_CI,38.00,44.00,54.00,60.00,46.00,38.00
1018521,SF_DR,58.00,48.00,36.00,52.00,50.00,54.00
1018510,SF_DI,66.00,50.00,46.00,52.00,50.00,52.00
1017578,SF_DE,66.00,50.00,60.00,54.00,64.00,56.00
1018544,SF_DI,54.00,46.00,38.00,60.00,46.00,50.00
1018550,SF_DR,70.00,48.00,44.00,46.00,44.00,50.00
1018561,SF_DI,68.00,58.00,38.00,62.00,52.00,42.00
1018593,SF_DI,62.00,44.00,36.00,52.00,40.00,38.00
1018585,SF_SR,32.00,52.00,46.00,34.00,30.00,50.00
1018578,SF_SE,68.00,70.00,56.00,60.00,72.00,60.00
1016606,SF_DR,70.00,50.00,48.00,54.00,56.00,72.00
1018565,SF_DS,58.00,50.00,30.00,44.00,36.00,36.00
1018558,SF_IE,54.00,48.00,48.00,62.00,64.00,56.00
1016795,SF_DE,62.00,40.00,52.00,60.00,64.00,58.00
1018581,SF_DR,70.00,54.00,44.00,52.00,60.00,62.00
1018596,SF_DI,50.00,42.00,40.00,48.00,38.00,46.00
1018549,SF_DS,68.00,64.00,38.00,40.00,44.00,48.00
484921,SF_DC,60.00,44.00,56.00,52.00,54.00,52.00
1018597,SF_DR,58.00,50.00,38.00,38.00,46.00,50.00
1018569,SF_DR,66.00,58.00,42.00,48.00,56.00,60.00
1018591,SF_DI,58.00,50.00,50.00,56.00,52.00,48.00
1018541,SF_DS,54.00,52.00,32.00,36.00,32.00,46.00
1016919,SF_DI,70.00,58.00,56.00,64.00,52.00,56.00
1018583,SF_DR,62.00,50.00,58.00,58.00,56.00,70.00
1018570,SF_DS,66.00,62.00,52.00,58.00,60.00,60.00
1018496,SF_DE,56.00,44.00,36.00,54.00,58.00,50.00
1018559,SF_DR,64.00,46.00,44.00,60.00,54.00,62.00
1018605,SF_DR,66.00,56.00,48.00,50.00,50.00,68.00
1018601,SF_DS,56.00,46.00,38.00,44.00,40.00,40.00
1018468,SF_SI,42.00,46.00,36.00,54.00,42.00,44.00
1018589,SF_CE,52.00,44.00,58.00,46.00,60.00,32.00
1018573,SF_DR,64.00,38.00,42.00,36.00,36.00,60.00
1018535,SF_DR,68.00,52.00,48.00,58.00,58.00,62.00
1018548,SF_SI,36.00,44.00,36.00,42.00,24.00,40.00
1018621,SF_CE,54.00,56.00,62.00,44.00,64.00,54.00
1018592,SF_DI,66.00,44.00,46.00,64.00,54.00,50.00
1018659,SF_DI,66.00,40.00,26.00,50.00,42.00,50.00
1018600,SF_SE,60.00,68.00,62.00,62.00,66.00,62.00
1018563,SF_DI,70.00,40.00,44.00,72.00,60.00,56.00
1018647,SF_DC,46.00,36.00,48.00,30.00,38.00,32.00
1014778,SF_DI,64.00,52.00,36.00,54.00,50.00,50.00
1018614,SF_DE,58.00,54.00,44.00,56.00,62.00,54.00
1018628,SF_DE,52.00,48.00,34.00,44.00,50.00,38.00
1018626,SF_IR,62.00,44.00,58.00,66.00,54.00,68.00
1018663,SF_DR,64.00,58.00,46.00,42.00,38.00,66.00
1018158,SF_DR,66.00,52.00,22.00,44.00,54.00,56.00
1018656,SF_DS,62.00,52.00,40.00,36.00,32.00,50.00
1018673,SF_DI,62.00,48.00,46.00,58.00,50.00,50.00
1018618,SF_DI,56.00,52.00,46.00,62.00,48.00,50.00
1018452,SF_DI,60.00,50.00,30.00,52.00,50.00,46.00
1018631,SF_DI,66.00,50.00,48.00,62.00,56.00,60.00
1017952,SF_DR,60.00,50.00,46.00,54.00,54.00,62.00
1018632,SF_ER,48.00,46.00,38.00,52.00,58.00,60.00
782952,SF_DI,68.00,58.00,52.00,62.00,54.00,60.00
1018692,SF_DI,58.00,38.00,34.00,52.00,46.00,48.00
1016716,SF_DR,54.00,46.00,28.00,48.00,36.00,50.00
1018638,SF_DR,70.00,62.00,42.00,64.00,60.00,66.00
1018679,SF_DE,68.00,50.00,42.00,52.00,62.00,56.00
1018713,SF_DS,62.00,60.00,34.00,46.00,40.00,48.00
1018667,SF_DR,66.00,50.00,42.00,60.00,46.00,62.00
1018629,SF_DE,56.00,54.00,36.00,42.00,58.00,44.00
1018668,SF_DC,56.00,36.00,52.00,48.00,28.00,48.00
1018682,SF_IE,44.00,38.00,42.00,66.00,64.00,50.00
1017599,SF_DI,52.00,40.00,44.00,58.00,50.00,42.00
1018697,SF_IE,60.00,50.00,44.00,70.00,66.00,48.00
1018651,SF_DS,54.00,48.00,28.00,38.00,26.00,36.00
1018717,SF_CI,46.00,32.00,58.00,56.00,48.00,40.00
1018707,SF_DI,52.00,48.00,36.00,56.00,50.00,40.00
1018742,SF_DI,64.00,52.00,44.00,60.00,56.00,54.00
